metric,true_relative_effect,estimator,n_required_measured,n_required_from_variance,measured_variance,replications,n_required_baseline,sample_size_ratio,users_saved_pct
revenue_p10,0.075,post_stratified,136912.04115589833,138093.73458482607,6909.142527793738,1500,151235.30412017147,0.9052915385888213,9.470846141117873
revenue_p10,0.1,cuped,65029.71435602296,65284.13946508442,5806.7794889830375,1500,87557.32646890313,0.7427101417848673,25.728985821513273
revenue_p10,0.1,cuped_plus_strata,63867.438574018364,63798.18757613269,5674.60963852502,1500,87557.32646890313,0.7294356868776883,27.056431312231165
revenue_p10,0.1,diff_in_means,87557.32646890313,87530.14154089258,7785.477984882861,1500,87557.32646890313,1.0,0.0
revenue_p10,0.1,lin_adjusted,65093.53639864874,65420.03779115379,5818.867135674448,1500,87557.32646890313,0.7434390590005894,25.65609409994106
revenue_p10,0.1,post_stratified,78720.92963875744,78574.60150664918,6988.916268519526,1500,87557.32646890313,0.8990787272006983,10.092127279930175
sessions_m3,0.02,cuped,97241.53277924906,94901.89954932386,10.882025522776685,1500,129780.51090849344,0.7492768528844274,25.072314711557265
sessions_m3,0.02,cuped_plus_strata,96350.46117897201,93944.845982714,10.772283975052448,1500,129780.51090849344,0.7424108635764847,25.758913642351533
sessions_m3,0.02,diff_in_means,129780.51090849344,126541.07398886557,14.509964535648948,1500,129780.51090849344,1.0,0.0
sessions_m3,0.02,lin_adjusted,97241.53277924906,94905.39928199603,10.882426823282179,1500,129780.51090849344,0.7492768528844274,25.072314711557265
sessions_m3,0.02,post_stratified,100097.69711131247,98384.65579693973,11.281379408801572,1500,129780.51090849344,0.7712845049738637,22.871549502613632
sessions_m3,0.03,cuped,43551.63308373518,42543.28466922719,10.976107976042206,1500,57112.47366526339,0.7625590398866561,23.744096011334392
sessions_m3,0.03,cuped_plus_strata,43377.856420191594,42115.472018325476,10.865732910122327,1500,57112.47366526339,0.7595163304329894,24.048366956701063
sessions_m3,0.03,diff_in_means,57112.47366526339,56729.228274746296,14.636061596615612,1500,57112.47366526339,1.0,0.0
sessions_m3,0.03,lin_adjusted,43562.09208258179,42546.63283561546,10.976971798290185,1500,57112.47366526339,0.7627421697386024,23.72578302613976
sessions_m3,0.03,post_stratified,45318.28696438082,44102.77166806863,11.378453441833166,1500,57112.47366526339,0.7934919301515746,20.65080698484254
sessions_m3,0.05,cuped,15802.223650030013,15590.511042203407,11.173139044111869,1500,20980.362978289453,0.7531911467109604,24.680885328903955
sessions_m3,0.05,cuped_plus_strata,15717.286101563446,15436.137845606252,11.062505519297003,1500,20980.362978289453,0.7491427158733023,25.085728412669773
sessions_m3,0.05,diff_in_means,20980.362978289453,20797.373952436163,14.90470391213799,1500,20980.362978289453,1.0,0.0
sessions_m3,0.05,lin_adjusted,15802.223650030013,15593.712796432872,11.175433622210948,1500,20980.362978289453,0.7531911467109604,24.680885328903955
sessions_m3,0.05,post_stratified,16371.144411065983,16167.879552417153,11.586917567910545,1500,20980.362978289453,0.7803079683610287,21.969203163897134
