metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
revenue_p10,0.075,104380,cuped_plus_strata,1500,0.7706666666666667,0.7487162226820377,0.7912343121547708,0.4654670900245344,5653.73257242372
revenue_p10,0.075,149114,cuped_plus_strata,1500,0.9146666666666666,0.8994476527415375,0.9277672060478587,0.3882216641030521,5618.468660564277
revenue_p10,0.075,208760,cuped_plus_strata,1500,0.9726666666666667,0.9631303791093742,0.9797881657164811,0.32835537012496113,5626.982230001892
revenue_p10,0.075,283316,cuped_plus_strata,1500,0.9926666666666667,0.9869160908041851,0.9959002767928627,0.282728114707472,5661.72934911827
revenue_p10,0.075,52190,diff_in_means,1500,0.394,0.3695730083675056,0.41896853094517283,0.7646998555655034,7629.732677107062
revenue_p10,0.075,74556,diff_in_means,1500,0.5066666666666667,0.4813811896139675,0.5319180846430969,0.6409011290385578,7656.048600004818
revenue_p10,0.075,104380,diff_in_means,1500,0.6286666666666667,0.6039161453061953,0.6527598478551447,0.5444013557731757,7733.849159795397
revenue_p10,0.075,149114,diff_in_means,1500,0.8086666666666666,0.7879820765510289,0.8277743215510457,0.4542577675080116,7692.422923866991
revenue_p10,0.075,208760,diff_in_means,1500,0.9066666666666666,0.8908887769009498,0.9203669527799693,0.3838650932422922,7690.3222679793935
revenue_p10,0.075,283316,diff_in_means,1500,0.9633333333333334,0.9525774783578572,0.971722082508108,0.3303924197155105,7731.633506566437
revenue_p10,0.075,52190,lin_adjusted,1500,0.4866666666666667,0.46143900135505744,0.5119624501308141,0.6617726952994721,5714.0626004326505
revenue_p10,0.075,74556,lin_adjusted,1500,0.6286666666666667,0.6039161453061953,0.6527598478551447,0.5541037809206081,5722.750809568736
revenue_p10,0.075,104380,lin_adjusted,1500,0.7586666666666667,0.7363695789485286,0.7796422622255642,0.47108525397938955,5791.036754506573
revenue_p10,0.075,149114,lin_adjusted,1500,0.9086666666666666,0.8930252928929022,0.922220219065136,0.39292586901067966,5755.455146581296
revenue_p10,0.075,208760,lin_adjusted,1500,0.968,0.9578292713813557,0.9757797814645544,0.33227888229203684,5762.259050664031
revenue_p10,0.075,283316,lin_adjusted,1500,0.9893333333333333,0.9827430427895784,0.9934236876789372,0.2859267008348116,5790.559608389071
revenue_p10,0.075,52190,post_stratified,1500,0.4206666666666667,0.3959179308668364,0.4458207054740991,0.7245340149974656,6849.279108645717
revenue_p10,0.075,74556,post_stratified,1500,0.542,0.5167111100180196,0.5670743178014853,0.6073860943966423,6876.260135434157
revenue_p10,0.075,104380,post_stratified,1500,0.684,0.6600279467949919,0.7070320226999813,0.5161849059091052,6952.930735721582
revenue_p10,0.075,149114,post_stratified,1500,0.84,0.8205823751869473,0.8576806119233292,0.43063006804552423,6913.009121839147
revenue_p10,0.075,208760,post_stratified,1500,0.932,0.9181251373459254,0.9436678345118379,0.3639132079382841,6911.669027773772
revenue_p10,0.075,283316,post_stratified,1500,0.976,0.9669538023528023,0.982614379601585,0.3132854141874564,6951.707037348049
revenue_p10,0.1,29356,cuped,1500,0.4713333333333333,0.44617733388591935,0.4966357868087044,0.8876520857569988,5782.59056783448
revenue_p10,0.1,41938,cuped,1500,0.632,0.6072863311326053,0.6560392991572668,0.7433338933737305,5793.160957106468
revenue_p10,0.1,58714,cuped,1500,0.778,0.7562733189865307,0.7983064175330485,0.6295538761123445,5817.648550259782
revenue_p10,0.1,83876,cuped,1500,0.8726666666666667,0.8548400771961882,0.8885893537737033,0.5256146196598449,5793.120903823027
revenue_p10,0.1,117428,cuped,1500,0.9606666666666667,0.9495951286445223,0.9693847225186172,0.4454386073305016,5824.885386501059
revenue_p10,0.1,159366,cuped,1500,0.9906666666666667,0.9843943504914645,0.9944322348284642,0.38250689356100004,5829.270568373411
revenue_p10,0.1,29356,cuped_plus_strata,1500,0.47933333333333333,0.4541369775644245,0.5046352722386763,0.8774869728580837,5650.908081124087
