metric,target_rho,realised_rho_mean,realised_rho_sd,n_total,estimator,replications,variance,variance_ratio,theoretical_ratio,empirical_variance_of_estimates,sample_size_ratio,users_saved_pct
revenue_p10,0.4,0.4005100772468336,0.022747385260970497,100000,lin_adjusted,800,0.25173091260049324,0.8411537066617433,0.84,0.25992857396216223,0.8411537066617433,15.884629333825673
revenue_p10,0.5,0.5005141483538599,0.021233899625961748,100000,lin_adjusted,800,0.22351763414389075,0.7506881468134419,0.75,0.22454283850468504,0.7506881468134419,24.931185318655814
revenue_p10,0.6,0.6009164412203382,0.022340484881834134,100000,lin_adjusted,800,0.1908039987642444,0.6380165250817014,0.64,0.18552718059224804,0.6380165250817014,36.198347491829864
revenue_p10,0.7,0.7003104748549872,0.018584421691258336,100000,lin_adjusted,800,0.15181551090405931,0.5109010930949252,0.51,0.1429223952243582,0.5109010930949252,48.90989069050748
revenue_p10,0.8,0.8003539555141461,0.013986873302454824,100000,lin_adjusted,800,0.10713541457914916,0.3595516416452084,0.3599999999999999,0.11379612564240266,0.3595516416452084,64.04483583547915
revenue_p10,0.9,0.9001861378812194,0.008587516674233497,100000,lin_adjusted,800,0.056487588689961336,0.18921135116925775,0.18999999999999995,0.05818356205694418,0.18921135116925775,81.07886488307423
revenue_p10,0.0,2.506311752661956e-05,0.003293739510281117,100000,post_stratified,800,0.2992057379584575,0.9999660508862319,1.0,0.30159319511377614,0.9999660508862319,0.0033949113768083627
revenue_p10,0.1,0.10069424555069811,0.010264924026677077,100000,post_stratified,800,0.2934086693405485,0.9836721972845363,0.99,0.3026241050260663,0.9836721972845363,1.6327802715463746
revenue_p10,0.2,0.20056486601515636,0.015556569242608469,100000,post_stratified,800,0.2861651120326323,0.9615792727654293,0.96,0.2995940564208334,0.9615792727654293,3.8420727234570684
revenue_p10,0.3,0.30043800897856116,0.01859066740040807,100000,post_stratified,800,0.28078739056938123,0.9403519446167813,0.91,0.2777576421152343,0.9403519446167813,5.964805538321871
revenue_p10,0.4,0.4005100772468336,0.022747385260970497,100000,post_stratified,800,0.27538775243538843,0.920202554137245,0.84,0.28259580091003444,0.920202554137245,7.979744586275494
revenue_p10,0.5,0.5005141483538599,0.021233899625961748,100000,post_stratified,800,0.2684946343387804,0.9017442415813113,0.75,0.2685388367743558,0.9017442415813113,9.825575841868872
revenue_p10,0.6,0.6009164412203382,0.022340484881834134,100000,post_stratified,800,0.26501657114875343,0.8861709026460964,0.64,0.2613163962353696,0.8861709026460964,11.382909735390356
revenue_p10,0.7,0.7003104748549872,0.018584421691258336,100000,post_stratified,800,0.25886748155363826,0.8711605191386793,0.51,0.2415085325044778,0.8711605191386793,12.883948086132069
revenue_p10,0.8,0.8003539555141461,0.013986873302454824,100000,post_stratified,800,0.2561197553905442,0.8595503071526989,0.3599999999999999,0.261008525291753,0.8595503071526989,14.044969284730113
revenue_p10,0.9,0.9001861378812194,0.008587516674233497,100000,post_stratified,800,0.25434944719578445,0.8519712681879941,0.18999999999999995,0.25470738906172685,0.8519712681879941,14.802873181200592
sessions_m3,0.0,4.343002388413726e-05,0.0030453166073467312,100000,cuped,800,0.0005701125302875151,0.9999907276390412,1.0,0.0005706755434197664,0.9999907276390412,0.0009272360958823
sessions_m3,0.1,0.10009284134477003,0.0036242487361725327,100000,cuped,800,0.0005644450250416579,0.9899672982840998,0.99,0.0005329556665365724,0.9899672982840998,1.0032701715900205
sessions_m3,0.2,0.19999577475712918,0.003596737924972697,100000,cuped,800,0.0005470738443183788,0.959987165454061,0.96,0.0005551875349493285,0.959987165454061,4.001283454593896
sessions_m3,0.3,0.2998043836757435,0.0036299983272712034,100000,cuped,800,0.0005187934711145263,0.9101006922262803,0.91,0.0004749664514413842,0.9101006922262803,8.989930777371969
sessions_m3,0.4,0.40006550132953783,0.003590408293757255,100000,cuped,800,0.0004786874335654374,0.8399286991564519,0.84,0.0004644546509271259,0.8399286991564519,16.007130084354813
sessions_m3,0.5,0.49987158831806755,0.003264327291625846,100000,cuped,800,0.0004274480498545391,0.7501091138785807,0.75,0.00040870859959921894,0.7501091138785807,24.98908861214193
